,Location,DCI Name
0,"Rockford, Michigan",
1,"Muncie, Indiana",
2,"Walnut, California",
3,"Madison, Wisconsin",
4,"Shelton, Connecticut",
5,"Walnut, California",
6,"Lisle, Illinois",
7,"San Bernardino, California",
8,"Mason, OH",
9,"Cedarburg, Wisconsin",
10,"Clovis, California",
11,"Portland, Oregon",
12,"Rockford, Illinois",
13,"Stanford, California",DCI West
14,"Seattle, Washington",
15,"Whitewater, Wisconsin",
16,"LaCrosse, Wisconsin",
17,"Sacramento, California",
18,"Kennewick, Washington",
19,"Sevierville, Tennessee",
20,"Boise, Idaho",
21,"Mankto, Minnesota",
22,"Newnan, Georgia",
